yearmonth,Nvictim,n_guns_involved
2014-01,2945,406
2014-02,2068,317
2014-03,2558,406
2014-04,2761,586
2014-05,3199,429
2014-06,3196,486
2014-07,3585,494
2014-08,3438,492
2014-09,3072,658
2014-10,2896,705
2014-11,2849,866
2014-12,2992,2082
2015-01,2931,2489
2015-02,2248,1798
2015-03,3183,2748
2015-04,3144,2288
2015-05,3841,3694
2015-06,3506,3482
2015-07,3962,3166
2015-08,3863,4158
2015-09,3673,3066
2015-10,3349,3322
2015-11,3281,3169
2015-12,3470,3469
2016-01,3389,2710
2016-02,2848,2672
2016-03,3611,3109
2016-04,3428,3408
2016-05,3792,3833
2016-06,3780,2874
2016-07,4437,3793
2016-08,4461,6425
2016-09,3884,5928
2016-10,4148,6468
2016-11,4010,6239
2016-12,3858,6362
2017-01,3960,6492
2017-02,3338,5967
2017-03,3453,6555
2017-04,3879,6838
2017-05,4121,7091
2017-06,4045,6551
2017-07,4409,6866
2017-08,4055,6143
2017-09,3769,5804
2017-10,4047,6254
2017-11,3681,5774
2017-12,3457,5854